Country Name,Country Code,Year,Value
East Asia & Pacific (excluding high income),EAP,2023,2137527754
Early-demographic dividend,EAR,2023,3511076811
East Asia & Pacific,EAS,2023,2384463611
Europe & Central Asia (excluding high income),ECA,2023,249146208
Europe & Central Asia,ECS,2023,924969865
Ecuador,ECU,2023,17980083
"Egypt, Arab Rep.",EGY,2023,114535772
Euro area,EMU,2023,349670802
Eritrea,ERI,2023,3470390
Spain,ESP,2023,48347910
Estonia,EST,2023,1370286
Ethiopia,ETH,2023,128691692
European Union,EUU,2023,448804042
Fragile and conflict affected situations,FCS,2023,1058789534
Finland,FIN,2023,5583911
Fiji,FJI,2023,924145
France,FRA,2023,68287487
Faroe Islands,FRO,2023,54482
"Micronesia, Fed. Sts.",FSM,2023,112630
Gabon,GAB,2023,2484789
United Kingdom,GBR,2023,68350000
Georgia,GEO,2023,3715483
Ghana,GHA,2023,33787914
Gibraltar,GIB,2023,38471
Guinea,GIN,2023,14405468
"Gambia, The",GMB,2023,2697845
Guinea-Bissau,GNB,2023,2153339
Equatorial Guinea,GNQ,2023,1847549
Greece,GRC,2023,10405588
Grenada,GRD,2023,117081
Greenland,GRL,2023,56865
Guatemala,GTM,2023,18124838
Guam,GUM,2023,166506
Guyana,GUY,2023,826353
High income,HIC,2023,1400465513
"Hong Kong SAR, China",HKG,2023,7536100
Honduras,HND,2023,10644851
Heavily indebted poor countries (HIPC),HPC,2023,917304254
Croatia,HRV,2023,3859686
Haiti,HTI,2023,11637398
Hungary,HUN,2023,9592186
IBRD only,IBD,2023,4952574126
IDA & IBRD total,IBT,2023,6858957145
IDA total,IDA,2023,1906383019
IDA blend,IDB,2023,633230238
Indonesia,IDN,2023,281190067
IDA only,IDX,2023,1273152781
Isle of Man,IMN,2023,84165
India,IND,2023,1438069596
Ireland,IRL,2023,5307600
"Iran, Islamic Rep.",IRN,2023,90608707
Iraq,IRQ,2023,45074049
Iceland,ISL,2023,393349
Israel,ISR,2023,9756600
Italy,ITA,2023,58993475
Jamaica,JAM,2023,2839786
Jordan,JOR,2023,11439213
Japan,JPN,2023,124516650
Kazakhstan,KAZ,2023,20330104
Kenya,KEN,2023,55339003
Kyrgyz Republic,KGZ,2023,7099750
Cambodia,KHM,2023,17423880
Kiribati,KIR,2023,132530
St. Kitts and Nevis,KNA,2023,46758
"Korea, Rep.",KOR,2023,51712619
Kuwait,KWT,2023,4853420
Latin America & Caribbean (excluding high income),LAC,2023,594995068
Lao PDR,LAO,2023,7664993
Lebanon,LBN,2023,5773493
Liberia,LBR,2023,5493031
Libya,LBY,2023,7305659
St. Lucia,LCA,2023,179285
Latin America & Caribbean,LCN,2023,657611624
Least developed countries: UN classification,LDC,2023,1160824674
Low income,LIC,2023,736466395
Liechtenstein,LIE,2023,39850
Sri Lanka,LKA,2023,22037000
Lower middle income,LMC,2023,3079778780
Low & middle income,LMY,2023,6633109634
Lesotho,LSO,2023,2311472
Late-demographic dividend,LTE,2023,2326658047
Lithuania,LTU,2023,2871585
Luxembourg,LUX,2023,666430
Latvia,LVA,2023,1877445
"Macao SAR, China",MAC,2023,678800
St. Martin (French part),MAF,2023,27515
Morocco,MAR,2023,37712505
Monaco,MCO,2023,38956
Moldova,MDA,2023,2457783
Madagascar,MDG,2023,31195932
Maldives,MDV,2023,525994
Middle East & North Africa,MEA,2023,508311359
Mexico,MEX,2023,129739759
Marshall Islands,MHL,2023,38827
Middle income,MIC,2023,5896643239
North Macedonia,MKD,2023,1827816
Mali,MLI,2023,23769127
Malta,MLT,2023,552747
Myanmar,MMR,2023,54133798
Middle East & North Africa (excluding high income),MNA,2023,440118189
Montenegro,MNE,2023,616177
Mongolia,MNG,2023,3481145
Northern Mariana Islands,MNP,2023,45143
Mozambique,MOZ,2023,33635160
Mauritania,MRT,2023,5022441
Mauritius,MUS,2023,1261041
Malawi,MWI,2023,21104482
Malaysia,MYS,2023,35126298
North America,NAC,2023,375077354
Namibia,NAM,2023,2963095
New Caledonia,NCL,2023,289870
Niger,NER,2023,26159867
Nigeria,NGA,2023,227882945
Nicaragua,NIC,2023,6823613
Netherlands,NLD,2023,17877117
Norway,NOR,2023,5519594
Nepal,NPL,2023,29694614
Nauru,NRU,2023,11875
New Zealand,NZL,2023,5223100
OECD members,OED,2023,1385723403
Oman,OMN,2023,5049269
Other small states,OSS,2023,14411921
Pakistan,PAK,2023,247504495
Panama,PAN,2023,4458759
Peru,PER,2023,33845617
Philippines,PHL,2023,114891199
Palau,PLW,2023,17727
Papua New Guinea,PNG,2023,10389635
Poland,POL,2023,36687353
Pre-demographic dividend,PRE,2023,1078224044
Puerto Rico,PRI,2023,3205691
"Korea, Dem. People's Rep.",PRK,2023,26418204
Portugal,PRT,2023,10578174
Paraguay,PRY,2023,6844146
West Bank and Gaza,PSE,2023,5165775
Pacific island small states,PSS,2023,2689224
Post-demographic dividend,PST,2023,1119236161
French Polynesia,PYF,2023,281118
Qatar,QAT,2023,2656032
Romania,ROU,2023,19059479
Russian Federation,RUS,2023,143826130
Rwanda,RWA,2023,13954471
South Asia,SAS,2023,1951539835
Saudi Arabia,SAU,2023,33264292
Sudan,SDN,2023,50042791
Senegal,SEN,2023,18077573
Singapore,SGP,2023,5917648
Solomon Islands,SLB,2023,800005
Sierra Leone,SLE,2023,8460512
El Salvador,SLV,2023,6309624
San Marino,SMR,2023,33860
Somalia,SOM,2023,18358615
Serbia,SRB,2023,6623183
Sub-Saharan Africa (excluding high income),SSA,2023,1259782580
South Sudan,SSD,2023,11483374
Sub-Saharan Africa,SSF,2023,1259902353
Small states,SST,2023,20253539
Sao Tome and Principe,STP,2023,230871
Suriname,SUR,2023,628886
Slovak Republic,SVK,2023,5426740
Slovenia,SVN,2023,2120461
Sweden,SWE,2023,10536632
Eswatini,SWZ,2023,1230506
Sint Maarten (Dutch part),SXM,2023,42749
Seychelles,SYC,2023,119773
Syrian Arab Republic,SYR,2023,23594623
Turks and Caicos Islands,TCA,2023,46198
Chad,TCD,2023,19319064
East Asia & Pacific (IDA & IBRD countries),TEA,2023,2111139152
Europe & Central Asia (IDA & IBRD countries),TEC,2023,459025452
Togo,TGO,2023,9304337
Thailand,THA,2023,71702435
Tajikistan,TJK,2023,10389799
Turkmenistan,TKM,2023,7364438
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,642397939
Timor-Leste,TLS,2023,1384286
Middle East & North Africa (IDA & IBRD countries),TMN,2023,434952414
Tonga,TON,2023,104597
South Asia (IDA & IBRD),TSA,2023,1951539835
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,1259902353
Trinidad and Tobago,TTO,2023,1367510
Tunisia,TUN,2023,12200431
Turkiye,TUR,2023,85325965
Tuvalu,TUV,2023,9816
Tanzania,TZA,2023,66617606
Uganda,UGA,2023,48656601
Ukraine,UKR,2023,37732836
Upper middle income,UMC,2023,2816864459
Uruguay,URY,2023,3388081
United States,USA,2023,334914895
Uzbekistan,UZB,2023,35652307
St. Vincent and the Grenadines,VCT,2023,101323
"Venezuela, RB",VEN,2023,28300854
British Virgin Islands,VGB,2023,38985
Virgin Islands (U.S.),VIR,2023,104917
Viet Nam,VNM,2023,100352192
Vanuatu,VUT,2023,320409
World,WLD,2023,8061876001
Samoa,WSM,2023,216663
Kosovo,XKX,2023,1756366
"Yemen, Rep.",YEM,2023,39390799
South Africa,ZAF,2023,63212384
Zambia,ZMB,2023,20723965
Zimbabwe,ZWE,2023,16340822
